###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59679.249898 -21.450  1.218   -10   12 o  0   0.96 220.41696   3.00675  8363.11  5126.54 2.15 1.88 -20.1 -0.456 19.41 20.79 04a59679o0644o
59680.433375 -20.529  1.528   -22   34 c  0   0.79 220.41696   3.00675 10512.79  7481.46 2.72 2.45  21.5 -0.418 18.53 20.13 02a59680o0446c
59680.449038 -21.051  1.878   -14   26 c  0   1.07 220.41696   3.00675   434.95  7401.92 2.34 2.16 -12.7 -0.404 18.57 20.16 02a59680o0480c
59680.468413 -20.126  0.870   -32   28 c  0   1.00 220.41696   3.00675   452.53  7441.73 2.33 2.16 -11.4 -0.408 18.59 20.24 02a59680o0520c
59680.471611  20.435  0.919    24   22 c  0   1.13 220.41696   3.00675   394.24  7365.77 2.29 2.15 -24.7 -0.421 18.70 20.34 02a59680o0527c
59680.474810  21.550  3.302     9   29 c  0   0.66 220.41696   3.00675   373.82  7480.37 2.32 2.13 -22.5 -0.434 18.60 20.24 02a59680o0534c
59682.441925  19.912  0.553    39   22 o  0   1.41 220.41696   3.00675  4396.92  5423.95 2.70 2.51 -38.9 -0.494 18.90 19.74 01a59682o0460o
59682.446081 -20.667  1.051   -20   21 o  0   0.95 220.41696   3.00675  4377.34  5385.41 2.70 2.53 -43.6 -0.489 18.83 19.74 01a59682o0469o
59682.451106 -24.630 44.333    -0   23 o  0   1.10 220.41696   3.00675  4436.64  5458.34 2.72 2.56 -44.3 -0.485 18.86 19.75 01a59682o0480o
59682.464853  19.678  0.670    49   33 o  0   1.04 220.41696   3.00675  4453.91  5340.83 2.71 2.52 -45.2 -0.490 18.59 19.36 01a59682o0509o
59683.144197 -21.692  3.686    -8   28 o  0   1.14 220.41696   3.00675  4623.03  9300.82 2.43 1.98 -73.0 -0.411 18.48 18.93 04a59683o0372o
59683.146940  21.293  2.329    11   26 o  0   1.42 220.41696   3.00675  4604.17  9260.82 2.22 1.89 -71.2 -0.440 18.52 18.95 04a59683o0378o
59683.151924  19.143  0.353    80   28 o  0   0.84 220.41696   3.00675  4662.37  9338.40 2.33 1.88 -74.8 -0.410 18.56 18.99 04a59683o0389o
59683.162789  22.287  5.848     4   26 o  0   1.47 220.41696   3.00675  4680.75  9220.94 2.32 1.88 -69.1 -0.424 18.57 19.06 04a59683o0413o
59688.506983 -21.256  2.222   -11   25 o  0   1.86 220.41696   3.00675  6539.41   748.88 1.99 1.85  83.6 -0.451 18.37 18.57 02a59688o0615o
59688.510183 -19.614  0.526   -52   27 o  0   1.15 220.41696   3.00675  6520.67   709.84 1.98 1.87  88.2 -0.459 18.36 18.60 02a59688o0622o
59688.538347  23.893 36.700     1   37 o  0   0.56 220.41696   3.00675  6576.90   790.09 2.01 1.88 -89.2 -0.448 18.36 18.61 02a59688o0680o
59688.546929  20.602  1.632    21   34 o  0   1.07 220.41696   3.00675  6601.71   673.99 2.01 1.86 -84.1 -0.476 18.35 18.61 02a59688o0698o
59690.468757  20.227  0.664    30   20 o  0   0.95 220.41696   3.00675  9982.23  9430.91 2.98 2.87  70.9 -0.406 19.06 20.14 01a59690o0545o
59690.502072  20.362  0.701    26   18 o  0   1.19 220.41696   3.00675 10010.76  9470.01 3.01 2.84  62.6 -0.403 19.05 20.10 01a59690o0616o
59690.505905 -20.799  1.032   -17   18 o  0   1.34 220.41696   3.00675  9948.96  9393.56 2.93 2.82  61.7 -0.412 19.05 20.11 01a59690o0624o
59690.513251  22.533  4.611     4   16 o  0   1.58 220.41696   3.00675  9934.51  9512.33 2.99 2.87  77.2 -0.411 19.04 20.08 01a59690o0640o
59691.225660  20.529  0.644    22   14 o  0   1.29 220.41696   3.00675  6245.41  7131.68 2.28 2.03 -51.8 -0.427 19.10 20.21 04a59691o0519o
59691.229732 -20.482  0.624   -23   14 o  0   0.72 220.41696   3.00675  6269.82  7166.08 2.09 1.94 -43.5 -0.407 19.11 20.21 04a59691o0526o
59691.235592 -22.098  2.805    -5   15 o  0   0.97 220.41696   3.00675  6215.27  7082.10 2.20 2.00 -51.1 -0.412 19.09 20.22 04a59691o0539o
59691.249672 -21.919  2.510    -6   16 o  0   1.17 220.41696   3.00675  6206.01  7184.70 2.16 1.94 -47.4 -0.415 19.07 20.12 04a59691o0567o
59692.467634  19.642  0.328    50   17 c  0   0.96 220.41696   3.00675  2576.82  7446.84 2.59 2.29  30.5 -0.400 19.14 21.04 02a59692o0430c
59692.470832  23.959 16.600     1   16 c  0   1.13 220.41696   3.00675  2557.64  7408.40 2.62 2.29  31.8 -0.395 19.22 21.06 02a59692o0437c
59692.475871 -20.214  0.856   -30   26 c  0   1.09 220.41696   3.00675  2615.20  7485.93 2.61 2.29  33.8 -0.398 18.71 20.55 02a59692o0448c
59692.479068  21.547  2.893     9   25 c  0   0.73 220.41696   3.00675  2635.39  7371.89 2.61 2.30  34.6 -0.399 18.54 20.24 02a59692o0455c
59694.483664 -21.011  1.029   -14   15 o  0   1.23 220.41696   3.00675  9986.22  9429.48 3.11 2.96  64.7 -0.396 19.27 20.63 01a59694o0570o
59694.487398  20.670  0.707    20   14 o  0   1.27 220.41696   3.00675 10008.00  9470.15 3.02 2.89  66.2 -0.407 19.32 20.64 01a59694o0578o
59694.519283 -24.492 26.667    -1   16 o  0   1.01 220.41696   3.00675  9951.52  9395.57 2.99 2.83  65.5 -0.415 19.29 20.50 01a59694o0646o
59694.526439  22.108  2.852     5   15 o  0   1.59 220.41696   3.00675  9935.15  9515.01 2.96 2.81  70.4 -0.424 19.22 20.45 01a59694o0661o
59695.216497  21.623  1.806     8   15 o  0   0.83 220.41696   3.00675  6247.30  7129.03 2.06 1.87 -41.6 -0.428 19.29 20.62 04a59695o0566o
59695.223172 -21.035  0.905   -14   13 o  0   1.11 220.41696   3.00675  4339.89  3442.67 2.09 1.98 -39.6 -0.467 19.30 20.61 04a59695o0579o
59695.226522  21.429  1.646    10   16 o  0   0.80 220.41696   3.00675  6216.80  7079.93 2.07 1.86 -49.1 -0.435 19.30 20.61 04a59695o0586o
59695.236421  20.854  0.769    16   13 o  0   0.92 220.41696   3.00675  6205.51  7186.82 2.28 2.05 -57.8 -0.422 19.22 20.72 04a59695o0606o
59696.412865 -21.168  0.851   -12   10 c  0   1.23 220.41696   3.00675  8017.42  3134.68 2.46 2.28  31.8 -0.398 19.53 21.39 02a59696o0400c
59696.414694  21.376  0.974    10   10 c  0   1.16 220.41696   3.00675  8036.08  3172.43 2.47 2.32  32.6 -0.400 19.52 21.39 02a59696o0404c
59696.437590  20.777  0.515    18    9 c  0   1.67 220.41696   3.00675  7979.58  3098.68 2.46 2.31  34.5 -0.403 19.54 21.40 02a59696o0452c
59696.443590 -23.592  7.900    -1   10 c  0   1.32 220.41696   3.00675  7963.12  3212.78 2.47 2.29  30.9 -0.398 19.55 21.41 02a59696o0465c
59698.446429  19.652  1.034    50   52 o  0   1.48 220.41696   3.00675  8022.13  9569.42 2.96 2.68  47.2 -0.452 17.72 19.06 01a59698o0481o
59698.480578 -19.996  0.710   -36   26 o  0   1.12 220.41696   3.00675  8050.21  9610.37 2.90 2.72  52.4 -0.462 18.70 20.11 01a59698o0554o
59698.483798  20.469  1.091    24   26 o  0   1.19 220.41696   3.00675  7989.98  9532.20 2.95 2.70  55.6 -0.456 18.76 20.13 01a59698o0561o
59698.489830 -22.877  8.125    -3   21 o  0   1.44 220.41696   3.00675  7974.18  9650.06 3.01 2.68  51.9 -0.456 18.86 20.21 01a59698o0574o
59699.197579 -21.676  2.739    -8   21 o  0   1.51 220.41696   3.00675 10359.43  3535.95 2.62 2.14 -13.2 -0.411 18.91 20.39 04a59699o0538o
59699.201033  20.775  0.657    18   12 o  0   1.41 220.41696   3.00675   234.78  7037.85 2.25 1.95 -80.6 -0.390 19.14 20.58 04a59699o0545o
59699.207547 -18.363  0.628  -164  103 o  0   1.84 220.41696   3.00675 10328.90  3486.73 2.70 1.90 -16.6 -0.438 16.84 18.26 04a59699o0557o
59699.218476  19.854  1.044    42   43 o  0   2.04 220.41696   3.00675 10316.74  3593.73 2.62 1.95 -13.1 -0.407 18.43 19.89 04a59699o0580o
59699.220305  20.311  0.980    27   27 o  0   0.95 220.41696   3.00675   244.63  3541.44 2.24 1.86  48.7 -0.392 18.63 20.06 04a59699o0584o
59699.225913 -20.009  0.384   -36   14 o  0   1.58 220.41696   3.00675   269.58  3574.75 2.40 1.91  45.1 -0.383 19.22 20.67 04a59699o0595o
59699.228627  20.271  1.839    28   52 o  0   0.93 220.41696   3.00675   211.94  3494.55 2.29 1.78  49.6 -0.395 18.50 19.94 04a59699o0601o
59699.239171  18.885  0.864   101   88 o  0   1.41 220.41696   3.00675   199.89  3599.86 2.46 1.94  47.2 -0.386 17.06 18.48 04a59699o0623o
59700.481618  20.005  0.494    36   18 c  0   1.01 220.41696   3.00675  2655.40  9391.06 2.52 2.41  31.8 -0.420 19.11 20.68 02a59700o0549c
59700.485365  20.483  0.608    23   14 c  0   1.27 220.41696   3.00675  2639.46  9353.13 2.49 2.39  32.8 -0.418 19.22 20.82 02a59700o0557c
59700.512071  22.054  2.270     6   12 c  0   1.07 220.41696   3.00675  2697.43  9429.54 2.48 2.38  39.3 -0.415 19.48 21.03 02a59700o0614c
59700.539370  24.042 15.000     1   13 c  0   1.14 220.41696   3.00675  2712.55  9316.62 2.50 2.39  33.1 -0.409 19.23 20.74 02a59700o0672c
59700.946467 -24.161 11.714    -1    9 o  0   1.41 220.41696   3.00675  4190.35  5243.44 2.18 2.03 -36.2 -0.429 19.62 21.00 03a59701o0543o
59700.949624 -22.268  4.882    -4   22 o  0   0.83 220.41696   3.00675  4207.07  5282.53 2.44 2.10 -11.5 -0.473 18.84 20.38 03a59701o0549o
59700.955666  21.619  1.189     8   10 o  0   0.84 220.41696   3.00675  4148.09  5205.83 2.21 1.98 -42.4 -0.423 19.58 21.01 03a59701o0561o
59700.966278 -21.844  1.475    -7   10 o  0   1.06 220.41696   3.00675  4121.81  5322.70 2.19 1.97 -50.8 -0.424 19.57 20.86 03a59701o0583o
59703.227049 -21.675  1.800    -8   14 o  0   0.88 220.41696   3.00675 10385.36  3497.77 2.83 2.09 -14.3 -0.389 19.38 20.69 04a59703o0364o
59703.229780 -21.930  2.028    -6   12 o  0   1.21 220.41696   3.00675 10405.72  3534.60 2.77 2.12 -14.0 -0.389 19.37 20.72 04a59703o0370o
59703.236229 -21.780  1.738    -7   12 o  0   1.33 220.41696   3.00675 10349.88  3452.84 2.80 2.05 -15.6 -0.396 19.36 20.68 04a59703o0384o
59703.239382  23.797 10.556     1   12 o  0   1.13 220.41696   3.00675   261.79  3511.22 2.32 1.86  46.7 -0.386 19.40 20.72 04a59703o0391o
59703.242580  21.797  2.000     7   14 o  0   0.81 220.41696   3.00675   283.04  3547.62 2.31 1.93  50.0 -0.380 19.36 20.61 04a59703o0398o
59703.248147 -22.376  3.708    -4   15 o  0   1.03 220.41696   3.00675 10334.07  3562.39 2.84 2.08 -16.5 -0.390 19.31 20.64 04a59703o0410o
59703.249048  21.685  1.509     8   12 o  0   1.40 220.41696   3.00675   226.56  3464.15 2.48 2.00  49.5 -0.382 19.27 20.60 04a59703o0412o
59703.261264 -20.699  0.750   -19   14 o  0   1.04 220.41696   3.00675   212.37  3572.88 2.33 1.83  51.9 -0.385 19.27 20.50 04a59703o0439o
59710.383491  17.786  0.143   279   40 o  0   1.35 220.41696   3.00675  8532.89  9038.21 2.93 2.88 -44.4 -0.451 18.35 18.97 01a59710o0322o
59710.386711  18.269  0.278   179   50 o  0   1.16 220.41696   3.00675  8512.98  8998.41 2.99 2.97 -56.6 -0.442 18.29 18.92 01a59710o0329o
59710.393156  17.763  0.101   285   29 o  0   1.39 220.41696   3.00675  8574.70  9075.76 2.94 2.91  86.4 -0.439 18.59 19.34 01a59710o0343o
59710.406032  17.908  0.114   249   28 o  0   1.01 220.41696   3.00675  8593.03  8955.48 2.87 2.79 -65.6 -0.454 18.76 19.60 01a59710o0370o
59711.145846  17.632  0.250   321   80 o  0   1.09 220.41696   3.00675    79.37  3243.72 2.59 1.86  47.3 -0.346 18.25 18.63 04a59711o0433o
59711.152382  17.540  0.166   350   58 o  0   0.94 220.41696   3.00675   102.50  3126.91 2.43 1.84  43.6 -0.357 17.58 17.79 04a59711o0446o
59711.178296  18.672  2.096   123  259 o  0   1.22 220.41696   3.00675   415.57  7430.98 2.73 2.23  70.9 -0.343 16.13 16.27 04a59711o0497o
59711.181678  18.158  1.247   198  247 o  0   0.88 220.41696   3.00675 10160.02  3135.62 2.77 1.82 -20.6 -0.357 16.30 16.19 04a59711o0504o
59711.187095  17.406  0.084   396   33 o  0   0.88 220.41696   3.00675 10223.57  3211.52 2.73 1.81 -21.8 -0.380 18.77 19.28 04a59711o0514o
59711.198666  17.579  0.086   338   29 o  0   0.85 220.41696   3.00675   372.43  7486.47 2.57 2.13  71.7 -0.372 18.70 19.24 04a59711o0537o
59716.484714  16.677  0.037   775   29 o  0   1.64 220.41696   3.00675  9020.79  1149.67 1.95 1.76 -60.8 -0.533 18.45 18.66 02a59716o0494o
59716.487913  16.628  0.039   810   31 o  0   0.91 220.41696   3.00675  9002.01  1108.81 1.89 1.77 -71.1 -0.518 18.42 18.65 02a59716o0501o
59716.493397  16.651  0.035   794   28 o  0   1.68 220.41696   3.00675  9060.54  1188.42 1.90 1.77 -60.9 -0.526 18.40 18.63 02a59716o0513o
59716.505247  16.632  0.038   808   31 o  0   1.57 220.41696   3.00675  9084.03  1072.42 1.85 1.69 -65.7 -0.538 18.39 18.57 02a59716o0538o
59719.191910  16.425  0.020   978   20 o  0   1.93 220.41696   3.00675  4070.58  9814.67 3.00 2.50 -81.0 -0.345 19.00 20.08 04a59719o0443o
59719.195593  16.426  0.022   976   22 o  0   1.24 220.41696   3.00675  4091.53  9851.34 3.14 2.56 -81.5 -0.338 18.95 20.05 04a59719o0451o
59719.201935  16.404  0.020   996   20 o  0   2.02 220.41696   3.00675  4035.94  9768.54 2.91 2.37 -80.0 -0.361 19.04 20.04 04a59719o0464o
59719.214175  16.384  0.020  1015   20 o  0   2.15 220.41696   3.00675  4019.47  9877.57 2.98 2.42 -78.5 -0.352 18.94 19.95 04a59719o0490o
59722.382977  16.304  0.017  1092   18 o  0   1.26 220.41696   3.00675  4062.25  3356.89 3.00 2.82 -23.0 -0.448 19.25 20.69 01a59722o0326o
59722.386658  16.271  0.015  1126   16 o  0   2.52 220.41696   3.00675  4083.13  3395.34 2.99 2.76 -22.5 -0.448 19.22 20.66 01a59722o0334o
59722.393124  16.268  0.015  1129   17 o  0   1.86 220.41696   3.00675  4024.86  3320.06 2.98 2.81 -23.1 -0.444 19.26 20.66 01a59722o0348o
59722.405149  16.310  0.017  1087   19 o  0   1.11 220.41696   3.00675  4011.40  3436.90 3.08 2.88 -16.6 -0.435 19.22 20.68 01a59722o0374o
59724.388458  15.913  0.011  1566   17 c  0   4.86 220.41696   3.00675  8388.39  7167.64 2.86 2.44  36.6 -0.396 19.62 21.36 02a59724o0331c
59724.391296  15.886  0.010  1605   16 c  0   5.62 220.41696   3.00675  8369.65  7130.08 2.82 2.41  36.2 -0.400 19.67 21.37 02a59724o0337c
59724.423152  15.920  0.011  1555   17 c  0   3.67 220.41696   3.00675  8419.50  7205.23 2.72 2.52  34.0 -0.400 19.60 21.31 02a59724o0405c
59724.451608  15.914  0.011  1565   17 c  0   3.95 220.41696   3.00675  8435.68  7090.69 2.77 2.47  31.1 -0.402 19.56 21.24 02a59724o0465c
59724.885414  16.161  0.014  1246   17 o  0   4.11 220.41696   3.00675  6175.02  7135.24 2.21 2.19 -56.0 -0.582 19.69 21.22 03a59725o0419o
59724.888602  16.205  0.013  1196   16 o  0   5.08 220.41696   3.00675  6190.68  7174.23 2.25 2.23  54.5 -0.478 19.65 21.18 03a59725o0426o
59724.894586  16.217  0.013  1184   16 o  0   4.48 220.41696   3.00675  6131.49  7096.93 2.24 2.23 -58.7 -0.469 19.66 21.25 03a59725o0439o
