###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59788.252196  18.847  0.185   105   19 c  0   0.79 220.41696   3.00675  4427.97  5417.28 2.50 2.31  37.6 -0.413 19.10 20.24 02a59788o0027c
59788.255360  18.813  0.116   108   13 c  0   1.03 220.41696   3.00675  4408.19  5378.97 2.42 2.28  39.0 -0.414 19.40 20.71 02a59788o0034c
59788.277154  18.831  0.108   107   12 c  0   1.03 220.41696   3.00675  4467.27  5460.58 2.38 2.33  73.5 -0.416 19.62 21.24 02a59788o0082c
59788.286754  18.772  0.097   112   11 c  0   0.85 220.41696   3.00675  4484.53  5344.61 2.36 2.30  66.7 -0.411 19.64 21.24 02a59788o0103c
59788.758076  18.960  0.084    95    8 c  0   1.00 220.41696   3.00675  2147.85  3332.31 2.45 2.28 -55.0 -0.403 19.79 21.77 03a59789o0117c
59788.761833  18.777  0.075   112    8 c  0   1.15 220.41696   3.00675  2165.00  3371.39 2.55 2.39 -52.3 -0.399 19.71 21.77 03a59789o0125c
59788.767467  19.069  0.105    86    9 c  0   1.25 220.41696   3.00675  2107.22  3293.17 2.55 2.39 -50.0 -0.400 19.72 21.76 03a59789o0137c
59788.780228  18.877  0.090   102    9 c  0   1.06 220.41696   3.00675  2083.29  3409.71 2.58 2.42 -47.2 -0.397 19.70 21.73 03a59789o0164c
59791.000458  18.845  0.140   105   15 c  0   0.85 220.41696   3.00675  8205.57  6977.35 3.47 2.97 -16.0 -0.352 19.25 21.47 04a59791o0111c
59791.003617  18.918  0.124    98   12 c  0   1.04 220.41696   3.00675  8225.92  7014.41 3.10 2.64 -20.1 -0.379 19.35 21.45 04a59791o0118c
59791.009036  18.947  0.135    96   13 c  0   1.39 220.41696   3.00675  8169.30  6934.23 3.29 2.83 -24.2 -0.362 19.30 21.50 04a59791o0130c
59791.020991  19.021  0.126    90   11 c  0   1.13 220.41696   3.00675  8153.35  7044.23 3.20 2.75 -18.7 -0.370 19.35 21.48 04a59791o0156c
59796.783106  19.806  0.751    43   33 o  0   0.84 220.41696   3.00675  5788.16  9704.89 2.64 2.27 -39.5 -0.404 18.46 18.86 03a59797o0189o
59796.786340  19.222  0.636    74   47 o  0   0.64 220.41696   3.00675  5806.63  9744.06 2.65 2.17 -41.2 -0.396 18.26 18.66 03a59797o0196o
59796.791480  18.984  0.398    93   37 o  0   0.69 220.41696   3.00675  5750.39  9664.14 2.57 2.25 -33.4 -0.401 18.47 18.86 03a59797o0207o
59796.801295  18.924  0.360    98   35 o  0   1.11 220.41696   3.00675  5727.13  9778.04 2.58 2.12 -35.3 -0.402 18.26 18.39 03a59797o0228o
59799.012854  19.937  0.771    38   30 o  0   1.07 220.41696   3.00675  4058.44  1353.67 2.76 2.63  48.1 -0.376 18.40 19.15 04a59799o0060o
59799.016008  18.600  0.233   132   31 o  0   0.65 220.41696   3.00675  4078.63  1391.73 2.68 2.59  41.6 -0.379 18.42 19.15 04a59799o0067o
59799.022404  19.207  0.423    75   32 o  0   1.14 220.41696   3.00675  4021.49  1309.97 3.13 2.99  56.2 -0.349 18.31 19.15 04a59799o0081o
