jd,fnu_microJy,fnu_microJy_unc,passband,programid,fcqfid,zpdiff,sys_unc_factor,poor_conditions
2459263.9152662,5.005419072294365,6.765350907588231,ZTF_r,3,4780622,26.3591,0.9871218263213513,1
2459263.9157292,5.618390093260748,5.560769271644496,ZTF_r,3,4780622,26.3505,0.9871218263213513,0
2459263.9162037,-2.5596493230296327,5.2109970173077595,ZTF_r,3,4780622,26.3499,0.9871218263213513,0
2459263.9166667,-7.99297255860422,5.588043723634254,ZTF_r,3,4780622,26.3466,0.9871218263213513,0
2459263.9171412,0.7793464982229351,5.630056144763341,ZTF_r,3,4780622,26.3461,0.9871218263213513,0
2459263.9176042,-3.2585344991742304,5.640255857896464,ZTF_r,3,4780622,26.3512,0.9871218263213513,0
2459263.9180787,-2.761269268833434,5.460303053972068,ZTF_r,3,4780622,26.3529,0.9871218263213513,0
2459263.9185417,3.098873157145178,5.41984990440711,ZTF_r,3,4780622,26.3533,0.9871218263213513,0
2459263.9190162,8.604571487471325,5.8255418002761346,ZTF_r,3,4780622,26.3581,0.9871218263213513,0
2459263.9194907,-3.8129456370416426,5.356194855831816,ZTF_r,3,4780622,26.3492,0.9871218263213513,0
2459263.9199537,0.8206722389307447,5.9823162201152345,ZTF_r,3,4780622,26.348,0.9871218263213513,0
2459263.9204282,-0.27720563354065636,5.435328913937231,ZTF_r,3,4780622,26.3589,0.9871218263213513,0
2459263.9209028,-1.499399398007139,5.886170909900378,ZTF_r,3,4780622,26.352,0.9871218263213513,0
2459263.9213657,1.801315991859484,5.180704924019447,ZTF_r,3,4780622,26.3526,0.9871218263213513,0
2459263.9218403,-0.756697491991001,6.180974351440053,ZTF_r,3,4780622,26.3585,0.9871218263213513,0
2459263.9223032,9.838366025999782,5.348602002516535,ZTF_r,3,4780622,26.3577,0.9871218263213513,0
2459263.9227778,-2.401599798058179,5.768680362047296,ZTF_r,3,4780622,26.348,0.9871218263213513,0
2459263.9265046,16.12077221107262,6.613809722595698,ZTF_r,3,4780622,26.3436,0.9871218263213513,1
2459263.9269792,1.622435706339205,5.923633642694557,ZTF_r,3,4780622,26.359,0.9871218263213513,0
2459263.9274537,-5.19715340482448,5.721201364556936,ZTF_r,3,4780622,26.3601,0.9871218263213513,0
2459263.9279167,-8.57326747398764,5.519473064972468,ZTF_r,3,4780622,26.3586,0.9871218263213513,0
2459263.9283912,-0.8554888068301616,4.959956923386245,ZTF_r,3,4780622,26.3503,0.9871218263213513,0
2459263.9288542,1.1960598408674863,5.223035844671926,ZTF_r,3,4780622,26.3593,0.9871218263213513,0
2459263.9293287,-3.446313243300798,6.285671630918204,ZTF_r,3,4780622,26.3626,0.9871218263213513,0
2459263.9297917,-0.6950763560658013,5.460444083941347,ZTF_r,3,4780622,26.3626,0.9871218263213513,0
2459263.9302662,-2.475566834624269,5.8472186517365685,ZTF_r,3,4780622,26.3568,0.9871218263213513,0
2459263.9307292,2.1505886282584097,5.777164475118819,ZTF_r,3,4780622,26.3545,0.9871218263213513,0
2459263.9312037,5.640138635787624,5.544454775098382,ZTF_r,3,4780622,26.3575,0.9871218263213513,0
2459263.9316667,-6.206463808151464,5.323985443049911,ZTF_r,3,4780622,26.3693,0.9871218263213513,0
2459263.9321412,8.394321929871335,4.79152743025758,ZTF_r,3,4780622,26.3551,0.9871218263213513,0
2459263.9326157,-8.115850093263884,5.016607477381857,ZTF_r,3,4780622,26.3662,0.9871218263213513,0
2459263.9330787,4.400207741619236,5.168371093532732,ZTF_r,3,4780622,26.3683,0.9871218263213513,0
2459263.9335532,1.8383184382867754,4.724464337050143,ZTF_r,3,4780622,26.3622,0.9871218263213513,0
2459263.9340162,2.629071380572511,5.683952689376379,ZTF_r,3,4780622,26.3621,0.9871218263213513,0
2459263.9344907,2.5448098900123792,5.348068023909228,ZTF_r,3,4780622,26.3662,0.9871218263213513,0
2459263.9349537,-0.1570762902201972,5.242562823296235,ZTF_r,3,4780622,26.3739,0.9871218263213513,0
2459263.9354282,3.343956966155968,4.869096580593129,ZTF_r,3,4780622,26.3656,0.9871218263213513,0
2459263.9358912,3.3414767900644082,4.83438745890391,ZTF_r,3,4780622,26.3707,0.9871218263213513,0
2459263.9363657,-0.3156788012374782,4.996568539055149,ZTF_r,3,4780622,26.3686,0.9871218263213513,0
2459263.9368403,1.135483722906972,4.531576011257224,ZTF_r,3,4780622,26.3723,0.9871218263213513,0
2459263.9373032,4.803887641937464,5.1555120286063065,ZTF_r,3,4780622,26.3717,0.9871218263213513,0
2459263.9377662,1.9689475903639648,5.147206162387722,ZTF_r,3,4780622,26.3659,0.9871218263213513,0
2459263.9382407,-2.941388868860507,4.925945229562371,ZTF_r,3,4780622,26.3613,0.9871218263213513,0
2459263.9387153,-4.853880199585179,4.9290964173951135,ZTF_r,3,4780622,26.373,0.9871218263213513,0
2459263.9391782,6.262485684078249,5.136578862096792,ZTF_r,3,4780622,26.3655,0.9871218263213513,0
2459263.9396528,-1.4088379772808266,4.316863345298103,ZTF_r,3,4780622,26.3687,0.9871218263213513,0
2459263.9401157,-6.065221053532799,4.442442471861437,ZTF_r,3,4780622,26.3664,0.9871218263213513,0
