59739.190 17.067 0.040
59739.190 17.067 0.040
59739.190 17.067 0.040
59742.340 17.301 0.058
59742.340 17.301 0.058
59742.340 17.301 0.058
59744.243 17.500 0.066
59744.243 17.500 0.066
59744.243 17.500 0.066
59748.252 17.770 0.053
59748.252 17.770 0.053
59748.252 17.770 0.053
59754.232 18.168 0.063
59754.232 18.168 0.063
59754.232 18.168 0.063
filter ztfi
#59682.263 19.173 9.990
#59685.300 18.614 9.990
#59690.377 19.540 9.990
#59695.331 17.778 9.990
#59699.399 19.878 9.990
#59682.263 19.173 9.990
#59685.300 18.614 9.990
#59690.377 19.540 9.990
#59695.331 17.778 9.990
#59699.399 19.878 9.990
59717.356 16.774 0.047
59717.356 16.774 0.047
59717.356 16.774 0.047
59723.211 16.677 0.040
59723.211 16.677 0.040
59723.211 16.677 0.040
59727.302 16.777 0.049
59727.302 16.777 0.049
59727.302 16.777 0.049
59731.253 17.075 0.047
59731.253 17.075 0.047
59731.253 17.075 0.047
59734.278 17.326 0.057
59734.278 17.326 0.057
59734.278 17.326 0.057
59737.253 17.435 0.049
59737.253 17.435 0.049
59737.253 17.435 0.049
59740.274 17.384 0.056
59740.274 17.384 0.056
59743.233 17.387 0.042
59740.274 17.384 0.056
59743.233 17.387 0.042
59743.233 17.387 0.042
59748.212 17.406 0.055
59748.212 17.406 0.055
59748.212 17.406 0.055
59751.311 17.454 0.055
59751.311 17.454 0.055
59751.311 17.454 0.055
59755.210 17.529 0.048
59755.210 17.529 0.048
59755.210 17.529 0.048
filter ztfr
#59677.398 20.065 9.990
#59679.359 20.363 9.990
#59682.338 19.639 9.990
#59684.379 19.443 9.990
#59687.389 19.150 9.990
#59697.358 20.503 9.990
#59699.336 20.493 9.990
59707.298 19.102 0.107
59707.298 19.102 0.107
59707.340 19.105 0.083
59707.340 19.105 0.083
59709.342 18.200 0.066
59709.381 18.166 0.050
#59702.267 20.407 9.990
59709.295 18.273 0.071
#59677.398 20.065 9.990
#59679.359 20.363 9.990
#59682.338 19.639 9.990
#59684.379 19.443 9.990
#59687.389 19.150 9.990
#59697.358 20.503 9.990
#59699.336 20.493 9.990
#59702.267 20.407 9.990
59707.298 19.102 0.107
59707.340 19.105 0.083
59709.295 18.273 0.071
59709.342 18.200 0.066
59709.381 18.165 0.050
59711.312 17.529 0.063
59711.312 17.529 0.063
59711.359 17.502 0.050
59711.312 17.529 0.063
59711.359 17.502 0.050
59714.339 16.889 0.032
59711.359 17.502 0.050
59714.339 16.889 0.032
59717.234 16.440 0.032
59717.234 16.440 0.032
59714.339 16.889 0.032
59719.319 16.244 0.027
59717.234 16.440 0.032
59719.319 16.244 0.027
59719.319 16.244 0.027
59724.296 16.093 0.044
59724.296 16.093 0.044
59724.296 16.093 0.044
59726.356 16.082 0.037
59726.356 16.082 0.037
59726.356 16.082 0.037
59733.232 16.443 0.034
59733.232 16.443 0.034
59733.232 16.443 0.034
59735.270 16.574 0.043
59735.270 16.574 0.043
59735.270 16.574 0.043
59737.229 16.692 0.037
59737.229 16.692 0.037
59737.229 16.692 0.037
59739.252 16.780 0.039
59739.252 16.780 0.039
59739.252 16.780 0.039
59748.320 17.060 0.040
59748.320 17.060 0.040
59750.207 17.129 0.047
59750.207 17.129 0.047
59748.320 17.060 0.040
59750.207 17.129 0.047
59752.278 17.190 0.041
59752.278 17.190 0.041
59752.278 17.190 0.041
59754.188 17.292 0.038
59754.188 17.292 0.038
59754.188 17.292 0.038
59756.212 17.459 0.034
59756.212 17.459 0.034
59756.212 17.459 0.034
59758.288 17.517 0.044
59758.288 17.517 0.044
59758.288 17.517 0.044
filter fp_ztfg
#58214.401 17.030 -9.900
#58229.290 21.150 -9.900
#58232.292 20.710 -9.900
#58235.313 20.230 -9.900
#58236.288 19.460 -9.900
#58243.253 21.600 -9.900
#58246.293 21.390 -9.900
#58249.337 20.890 -9.900
#58255.212 21.530 -9.900
#58258.274 21.400 -9.900
#58267.212 19.390 -9.900
#58270.271 20.410 -9.900
#58273.235 21.830 -9.900
#58276.232 21.980 -9.900
#58279.211 21.770 -9.900
#58282.252 21.630 -9.900
#58288.212 21.220 -9.900
#58294.190 20.430 -9.900
#58300.229 20.820 -9.900
#58304.193 21.710 -9.900
#58337.171 21.170 -9.900
#58348.152 19.820 -9.900
#58480.524 19.560 -9.900
#58487.517 21.290 -9.900
#58491.518 20.690 -9.900
#58494.541 21.680 -9.900
#58502.466 19.220 -9.900
#58505.464 18.910 -9.900
#58507.536 20.180 -9.900
#58522.521 21.230 -9.900
#58526.473 20.550 -9.900
#58539.417 19.620 -9.900
#58543.502 20.510 -9.900
#58547.396 21.160 -9.900
#58568.393 20.730 -9.900
#58572.378 20.540 -9.900
#58575.354 19.690 -9.900
#58581.319 21.370 -9.900
