# Time ZTFg ZTFr ZTFi B
26.38 -19.138 -18.968 -18.219 -18.552
26.62 -19.104 -18.959 -18.231 -18.511
26.88 -19.074 -18.939 -18.216 -18.457
27.12 -19.039 -18.936 -18.218 -18.416
27.38 -19.003 -18.917 -18.224 -18.369
27.62 -18.970 -18.912 -18.221 -18.312
27.88 -18.938 -18.905 -18.238 -18.271
28.12 -18.906 -18.895 -18.260 -18.230
28.38 -18.867 -18.887 -18.285 -18.182
28.62 -18.836 -18.884 -18.295 -18.144
28.88 -18.803 -18.881 -18.314 -18.100
29.12 -18.767 -18.884 -18.330 -18.057
29.38 -18.743 -18.870 -18.345 -18.024
29.62 -18.702 -18.884 -18.355 -17.980
29.88 -18.668 -18.880 -18.389 -17.944
30.12 -18.641 -18.877 -18.401 -17.913
30.38 -18.599 -18.880 -18.420 -17.864
30.62 -18.564 -18.891 -18.441 -17.823
30.88 -18.529 -18.892 -18.470 -17.792
31.12 -18.485 -18.902 -18.480 -17.736
31.38 -18.440 -18.895 -18.506 -17.688
31.62 -18.408 -18.902 -18.524 -17.651
31.88 -18.368 -18.907 -18.539 -17.608
32.12 -18.329 -18.906 -18.553 -17.561
32.38 -18.286 -18.907 -18.561 -17.527
32.62 -18.247 -18.913 -18.576 -17.474
32.88 -18.214 -18.911 -18.599 -17.443
33.12 -18.166 -18.906 -18.610 -17.387
33.38 -18.127 -18.905 -18.618 -17.350
33.62 -18.093 -18.907 -18.622 -17.324
33.88 -18.046 -18.899 -18.638 -17.271
34.12 -18.004 -18.897 -18.637 -17.215
34.38 -17.966 -18.893 -18.642 -17.183
34.62 -17.925 -18.882 -18.649 -17.144
34.88 -17.880 -18.866 -18.648 -17.099
